id,name,category,calories(kcal),sugars(g),protein(g),sodium(mg),saturated_fat(mg),caffeine(mg),allergy
1001,리저브 나이트로,콜드 브루 커피,5,0,0,0,0,190,
1002,나이트로 바닐라 크림,콜드 브루 커피,80,10,1,40,2,232,우유
1003,나이트로 콜드 브루,콜드 브루 커피,5,0,0,5,0,245,
1004,돌체 콜드 브루,콜드 브루 커피,265,29,8,130,9,155,우유
1005,리저브 콜드 브루,콜드 브루 커피,5,0,0,0,0,190,
1006,민트 콜드 브루,콜드 브루 커피,100,23,0,0,0,415,
1007,바닐라 크림 콜드 브루,콜드 브루 커피,125,11,3,58,6,155,우유
1008,시그니처 더 블랙 콜드 브루,콜드 브루 커피,25,0,0,50,0,680,
1009,오트 콜드 브루,콜드 브루 커피,120,14,1,95,0.3,65,
1010,제주 비자림 콜드 브루,콜드 브루 커피,360,39,11,140,8,305,우유
1011,제주 시트러스 허니 콜드 브루,콜드 브루 커피,190,45,0,30,0,95,
1012,콜드 브루,콜드 브루 커피,5,0,0,11,0,155,
1013,콜드 브루 몰트,콜드 브루 커피,505,41,7,150,20,190,대두 / 우유
1014,콜드 브루 플로트,콜드 브루 커피,225,18,3,70,10,190,우유
1015,아이스 커피,브루드 커피,5,0,0,10,0,140,
1016,오늘의 커피,브루드 커피,5,0,0,10,0,260,
1017,에스프레소 콘 파나,에스프레소,30,1,0,0,1.5,75,우유
1018,에스프레소 마키아또,에스프레소,10,0,1,0,0,75,우유
1019,아이스 카페 아메리카노,에스프레소,10,0,1,5,0,150,
1020,카페 아메리카노,에스프레소,10,0,1,5,0,150,
1021,아이스 카라멜 마키아또,에스프레소,190,22,6,110,4.6,75,대두 / 우유
1022,카라멜 마키아또,에스프레소,200,22,8,130,5,75,대두 / 우유
1023,아이스 카푸치노,에스프레소,115,9,6,90,3.5,75,우유
1024,카푸치노,에스프레소,110,8,6,70,3,75,우유
1025,더 그린 쑥 크림 라떼,에스프레소,365,33,11,570,11,170,대두 / 우유
1026,라벤더 카페 브레베,에스프레소,400,30,8,140,22,105,우유
1027,럼 샷 코르타도,에스프레소,70,8,3,45,1.8,160,우유
1028,바닐라 빈 라떼,에스프레소,245,27,9,150,6,210,우유
1029,브라운 슈가 오트 쉐이큰 에스프레소,에스프레소,135,20,1,55,0.2,170,
1030,사케라또 비안코 오버 아이스,에스프레소,270,14,3,45,18,315,우유
1031,스타벅스 돌체 라떼,에스프레소,255,39,12,190,2.6,150,우유
1032,아이스 더 그린 쑥 크림 라떼,에스프레소,325,28,9,490,10,170,대두 / 우유
1033,아이스 라벤더 카페 브레베,에스프레소,335,27,6,110,18,105,우유
1034,아이스 바닐라 빈 라떼,에스프레소,155,20,5,75,2.9,210,우유
1035,아이스 스타벅스 돌체 라떼,에스프레소,230,35,10,145,2.5,150,우유
1036,아이스 카페 라떼,에스프레소,110,8,6,75,3.5,75,우유
1037,카페 라떼,에스프레소,180,13,10,115,5,75,우유
1038,아이스 카페 모카,에스프레소,250,21,7,70,8,95,우유
1039,아이스 화이트 초콜릿 모카,에스프레소,260,27,7,75,8,75,우유
1040,카페 모카,에스프레소,290,25,10,105,9,95,우유
1041,클래식 민트 모카,에스프레소,335,43,4,200,0.7,210,
1042,화이트 초콜릿 모카,에스프레소,345,35,11,150,11,75,우유
1043,바닐라 플랫 화이트,에스프레소,220,23,9,130,5,260,우유
1044,바닐라 스타벅스 더블 샷,에스프레소,125,14,2,30,4.5,150,우유
1045,블론드 바닐라 더블 샷 마키아또,에스프레소,315,31,8,130,12,170,우유
1046,사케라또 아포가토,에스프레소,290,30,4,70,10,210,우유
1047,스파클링 시트러스 에스프레소,에스프레소,65,15,0,5,0,105,
1048,아이스 블론드 바닐라 더블 샷 마키아또,에스프레소,195,22,5,65,6,170,우유
1049,에스프레소,에스프레소,5,0,0,0,0,75,
1050,커피 스타벅스 더블 샷,에스프레소,125,14,3,28.5,5,150,우유
1051,클래식 아포가토,에스프레소,240,18,4,70,10,210,우유
1052,헤이즐넛 스타벅스 더블 샷,에스프레소,125,14,3,28.5,5,150,우유
1053,에스프레소 프라푸치노,프라푸치노,145,29,2,115,1.1,120,우유
1054,자바 칩 프라푸치노,프라푸치노,340,42,6,180,9,100,대두 / 우유 / 밀
1055,카라멜 프라푸치노,프라푸치노,300,39,4,190,7,85,대두 / 우유
1056,화이트 초콜릿 모카 프라푸치노,프라푸치노,245,38,4,140,6,85,우유
1057,제주 까망 크림 프라푸치노,프라푸치노,600,79,9,330,7,0,땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
1058,제주 쑥떡 크림 프라푸치노,프라푸치노,460,57,8,250,10,0,대두 / 우유 / 밀
1059,제주 유기농 말차로 만든 크림 프라푸치노,프라푸치노,230,28,5,150,7,60,우유
