id,name,category,price,calories(kcal),sugars(g),protein(g),sodium(mg),saturated_fat(mg),caffeine(mg),status
1001,리저브 나이트로,콜드 브루 커피,6500,5,0,0.0,0.0,0.0,190,Hot
1002,나이트로 바닐라 크림,콜드 브루 커피,6100,80,10,1.0,40.0,2.0,232,Hot
1003,나이트로 콜드 브루,콜드 브루 커피,6000,5,0,0.0,5.0,0.0,245,Hot
1004,돌체 콜드 브루,콜드 브루 커피,6000,265,29,8.0,130.0,9.0,155,Hot
1005,리저브 콜드 브루,콜드 브루 커피,8000,5,0,0.0,0.0,0.0,190,Hot
1006,민트 콜드 브루,콜드 브루 커피,6100,100,23,0.0,0.0,0.0,415,Hot
1007,바닐라 크림 콜드 브루,콜드 브루 커피,5800,125,11,3.0,58.0,6.0,155,Hot
1008,시그니처 더 블랙 콜드 브루,콜드 브루 커피,6000,25,0,0.0,50.0,0.0,680,Hot
1009,오트 콜드 브루,콜드 브루 커피,5800,120,14,1.0,95.0,0.3,65,Hot
1010,제주 비자림 콜드 브루,콜드 브루 커피,6100,360,39,11.0,140.0,8.0,305,Hot
1011,제주 시트러스 허니 콜드 브루,콜드 브루 커피,6400,190,45,0.0,30.0,0.0,95,Hot
1012,콜드 브루,콜드 브루 커피,4900,5,0,0.0,11.0,0.0,155,Hot
1013,콜드 브루 몰트,콜드 브루 커피,8000,505,41,7.0,150.0,20.0,190,Hot
1014,콜드 브루 플로트,콜드 브루 커피,7900,225,18,3.0,70.0,10.0,190,Hot
1015,아이스 커피,브루드 커피,4500,5,0,0.0,10.0,0.0,140,Ice
1016,오늘의 커피,브루드 커피,3700,5,0,0.0,10.0,0.0,260,Hot
1017,에스프레소 콘 파나,에스프레소,4700,30,1,0.0,0.0,1.5,75,Hot
1018,에스프레소 마키아또,에스프레소,4500,10,0,1.0,0.0,0.0,75,Hot
1019,아이스 카페 아메리카노,에스프레소,4500,10,0,1.0,5.0,0.0,150,Ice
1020,카페 아메리카노,에스프레소,4500,10,0,1.0,5.0,0.0,150,Hot
1021,아이스 카라멜 마키아또,에스프레소,5900,190,22,6.0,110.0,4.6,75,Ice
1022,카라멜 마키아또,에스프레소,5900,200,22,8.0,130.0,5.0,75,Hot
1023,아이스 카푸치노,에스프레소,5000,115,9,6.0,90.0,3.5,75,Ice
1024,카푸치노,에스프레소,5000,110,8,6.0,70.0,3.0,75,Hot
1025,더 그린 쑥 크림 라떼,에스프레소,6400,365,33,11.0,570.0,11.0,170,Hot
1026,라벤더 카페 브레베,에스프레소,6500,400,30,8.0,140.0,22.0,105,Hot
1027,럼 샷 코르타도,에스프레소,7000,70,8,3.0,45.0,1.8,160,Hot
1028,바닐라 빈 라떼,에스프레소,6100,245,27,9.0,150.0,6.0,210,Hot
1029,브라운 슈가 오트 쉐이큰 에스프레소,에스프레소,7900,135,20,1.0,55.0,0.2,170,Hot
1030,사케라또 비안코 오버 아이스,에스프레소,6300,270,14,3.0,45.0,18.0,315,Ice
1031,스타벅스 돌체 라떼,에스프레소,5900,255,39,12.0,190.0,2.6,150,Hot
1032,아이스 더 그린 쑥 크림 라떼,에스프레소,6400,325,28,9.0,490.0,10.0,170,Ice
